 age,Month,Year,Type,Location,Hunter,Grizzly,Hikers,Only one killed
3.0,May,1901,Wild,"Job, West Virginia",0,0,0,0
5.0,May,1901,Wild,"Job, West Virginia",0,0,0,0
7.0,May,1901,Wild,"Job, West Virginia",0,0,0,0
18.0,Nov,1906,Wild,"Elk County, Pennsylvania",0,0,0,1
1.0,Oct,1908,Captive,"Tucson, Arizona",0,0,0,1
61.0,Sep,1916,Wild,"Yellowstone National Park, Wyoming",0,0,0,1
60.0,Jun,1922,Wild,"Absaroka-Beartooth Wilderness, Montana",0,1,0,1
9.0,Aug,1929,Wild,"near Lac Du Bonnet, Manitoba",0,0,0,1
52.0,Sep,1929,Wild,"Jasper National Park, Alberta",0,0,0,1
,Oct,1929,Wild,"Admiralty Island, Alaska",0,0,0,1
60.0,Jun,1930,Captive,"Watertown, New York",0,0,0,1
56.0,Jul,1932,Captive,"Cleveland, Ohio",0,0,0,1
70.0,Oct,1932,Wild,"near Dawson, Yukon",0,0,0,1
5.0,Oct,1932,Captive,"Albion, New York",0,0,0,1
11.0,Oct,1933,Captive,"Brookhaven, New York",0,0,0,1
76.0,Jul,1934,Captive,"Denver, Colorado",0,1,0,1
54.0,Nov,1934,Captive,"Mankato, Minnesota",0,0,0,1
64.0,Nov,1934,Captive,"Pecos County, Texas",0,0,0,1
55.0,Oct,1936,Captive,"Ellsworth, Maine",0,0,0,0
68.0,Oct,1936,Captive,"Ellsworth, Maine",0,0,0,0
28.0,Jun,1941,Captive,"Detroit, Michigan",0,0,0,1
45.0,Aug,1942,Wild,"Yellowstone National Park, Wyoming",0,0,0,1
68.0,Dec,1942,Captive,"San Diego, California",0,0,0,1
37.0,Nov,1943,Wild,"West Townshend, Vermont",1,0,0,1
59.0,Aug,1945,Captive,"Chicago, Illinois",0,0,0,1
8.0,Sep,1945,Captive,"Seattle, Washington",0,0,0,1
3.0,Jul,1948,Wild,"Marquette National Forest, Michigan",0,0,0,1
18.0,Sep,1952,Captive,"Crawford Notch State Park, New Hampshire",0,0,0,1
50.0,Nov,1952,Wild,"near Anchorage, Alaska",0,0,0,1
3.0,Aug,1953,Captive,"Flagstaff, Arizona",0,0,0,1
,Sep,1955,Wild,"near Eureka, Alaska",1,0,0,1
28.0,Oct,1956,Captive,"Libertyville, Illinois",0,0,0,1
29.0,Oct,1956,Wild,"near Augusta, Montana",1,0,0,1
7.0,Aug,1958,Wild,"Jasper National Park, Alberta",0,0,0,1
45.0,Oct,1958,Wild,"near Ovando, Montana",1,1,0,1
51.0,Sep,1959,Wild,"near Cadomin, Alberta",0,0,0,1
51.0,Aug,1963,Wild,"near Fairbanks, Alaska",0,0,0,1
26.0,Sep,1964,Wild,"near Schefferville, Quebec",1,0,0,1
51.0,Jul,1965,Wild,"Aitkin, Minnesota",0,0,0,1
3.0,Sep,1966,Captive,"Prescott, Arizona",0,0,0,1
11.0,Aug,1967,Wild,"near Okanagan Landing, British Columbia",0,0,0,1
19.0,Aug,1967,Wild,"Glacier National Park, Montana",0,1,0,0
19.0,Aug,1967,Wild,"Glacier National Park, Montana",0,1,0,0
53.0,Oct,1968,Wild,"near Atikokan, Ontario",0,0,0,1
19.0,Nov,1968,Wild,"Churchill, Manitoba",0,0,0,1
49.0,Mar,1969,Captive,"Fort Leonard Wood, Missouri",0,0,0,1
40.0,Jan,1970,Wild,"near Fort St. John, British Columbia",1,0,0,1
31.0,Jul,1971,Wild,"near Rocky Mountain National Park, Colorado",1,0,0,1
19.0,Jan,1972,Captive,"Toledo, Ohio",0,0,0,1
25.0,Jun,1972,Wild,"Yellowstone National Park, Wyoming",0,0,0,1
51.0,Sep,1973,Wild,"Banff National Park, Alberta",0,1,0,1
4.0,May,1974,Wild,"Glenwood, Washington",0,0,0,1
38.0,Aug,1974,Wild,"Izembek National Wildlife Refuge, Alaska",0,1,0,1
18.0,Jan,1975,Wild,"Inuvik, Northwest Territories",0,0,0,1
1.0,Aug,1975,Captive,"Stewardson, Illinois",0,0,0,1
24.0,Jul,1976,Wild,"Glacier National Park of Canada, British Columbia",0,1,1,1
